State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Uttar Pradesh,17.33,Yamaha,Mt-15,147881.0,2022,118.0,Hybrid,66.91,Second,2022.0,Expired,Individual,79418.16,Tier 1
Uttar Pradesh,31.91,Hero,Splendor Plus,281327.0,2020,313.0,Petrol,36.93,Second,2024.0,Active,Individual,188254.84,Metro
Maharashtra,56.35,Royal Enfield,Himalayan,239013.0,2024,234.0,Petrol,36.12,Second,2024.0,Not Available,Dealer,101833.67,Tier 1
West Bengal,19.72,Tvs,Jupiter,236825.0,2024,276.0,Petrol,43.46,Second,2024.0,Active,Dealer,121040.77,Tier 1
Tamil Nadu,72.23,Kawasaki,Z650,155574.0,2024,840.0,Petrol,49.8,Second,2024.0,Expired,Individual,121376.15,Tier 1
Gujarat,22.57,Honda,Dio,70947.0,2022,498.0,Hybrid,62.68,Second,2022.0,Expired,Dealer,48073.78,Tier 3
Delhi,72.1,Tvs,Jupiter,396472.0,2021,942.0,Petrol,32.86,Second,2024.0,Active,Dealer,269387.72,Tier 3
Gujarat,54.54,Yamaha,R15 V4,203588.0,2021,583.0,Electric,70.2,Second,2024.0,Expired,Individual,109603.43,Tier 1
Gujarat,67.83,Kawasaki,Vulcan S,206540.0,2024,469.0,Hybrid,80.07,Second,2024.0,Not Available,Dealer,130554.44,Metro
Karnataka,43.95,Tvs,Apache Rtr 160,144565.0,2024,167.0,Petrol,29.44,First,2024.0,Expired,Dealer,86786.8,Metro
Punjab,45.1,Kawasaki,Vulcan S,393154.0,2020,568.0,Petrol,36.22,Second,2024.0,Expired,Dealer,292425.77,Tier 2
Delhi,34.69,Royal Enfield,Classic 350,397044.0,2015,923.0,Hybrid,68.77,Second,2022.0,Active,Dealer,259274.4,Tier 2
Gujarat,13.16,Royal Enfield,Interceptor 650,336431.0,2019,354.0,Hybrid,76.79,Second,2023.0,Active,Individual,147155.4,Tier 1
Gujarat,74.42,Honda,Activa,211818.0,2017,416.0,Hybrid,85.4,Third,2022.0,Not Available,Individual,127083.99,Metro
Madhya Pradesh,5.41,Honda,Activa,352157.0,2016,826.0,Electric,77.86,Second,2022.0,Expired,Individual,133472.89,Metro
Tamil Nadu,33.15,Ktm,250 Duke,107263.0,2024,476.0,Electric,95.53,Second,2024.0,Expired,Individual,54706.06,Tier 3
Punjab,75.43,Tvs,Sport,322747.0,2022,252.0,Petrol,57.12,Second,2023.0,Active,Dealer,203970.76,Tier 2
Tamil Nadu,76.4,Kawasaki,Z650,103570.0,2021,862.0,Hybrid,85.11,Second,2021.0,Active,Dealer,43966.51,Tier 3
Uttar Pradesh,68.37,Yamaha,Fascino 125,151506.0,2021,497.0,Petrol,34.12,First,2021.0,Not Available,Individual,109657.87,Metro
Karnataka,24.14,Tvs,Jupiter,145061.0,2024,353.0,Petrol,28.08,Second,2024.0,Not Available,Individual,83042.09,Tier 2
West Bengal,9.49,Hero,Hf Deluxe,229778.0,2020,368.0,Electric,91.29,Third,2021.0,Expired,Individual,168530.22,Tier 2
Delhi,7.61,Hero,Hf Deluxe,171260.0,2021,170.0,Hybrid,66.03,First,2021.0,Active,Individual,103862.2,Tier 3
Tamil Nadu,74.85,Yamaha,Fascino 125,288764.0,2023,470.0,Petrol,51.89,Second,2023.0,Active,Dealer,120996.42,Tier 2
Delhi,68.0,Kawasaki,Ninja 400,64863.0,2024,909.0,Hybrid,80.89,Second,2024.0,Not Available,Dealer,50611.96,Tier 3
Karnataka,10.5,Honda,Cbr 650R,254581.0,2022,834.0,Petrol,36.04,Second,2022.0,Expired,Individual,181456.98,Tier 2
Madhya Pradesh,73.26,Kawasaki,Versys 650,74684.0,2023,293.0,Petrol,54.62,Third,2023.0,Not Available,Dealer,48193.79,Tier 1
Maharashtra,59.61,Kawasaki,Ninja 300,251783.0,2016,779.0,Petrol,59.73,Second,2021.0,Not Available,Individual,193643.8,Tier 3
Rajasthan,26.18,Bajaj,Ct 100,68000.0,2021,109.0,Electric,63.74,Second,2023.0,Active,Dealer,30586.37,Tier 1
Tamil Nadu,11.83,Royal Enfield,Classic 350,263728.0,2021,984.0,Electric,81.06,Second,2023.0,Expired,Dealer,112885.83,Tier 1
Madhya Pradesh,44.9,Yamaha,Mt-15,57844.0,2019,218.0,Electric,61.1,Second,2022.0,Not Available,Dealer,27256.09,Tier 3
West Bengal,72.81,Bajaj,Avenger 220,328379.0,2023,287.0,Electric,68.35,Third,2024.0,Expired,Dealer,180932.26,Metro
Karnataka,31.27,Tvs,Apache Rtr 160,224917.0,2016,454.0,Petrol,27.28,Second,2024.0,Expired,Dealer,103546.72,Tier 3
Punjab,20.31,Hero,Splendor Plus,284414.0,2024,688.0,Petrol,70.2,Second,2024.0,Expired,Dealer,144228.41,Tier 1
Maharashtra,38.23,Hero,Glamour,365868.0,2018,321.0,Hybrid,67.94,Second,2022.0,Active,Dealer,189300.15,Metro
Rajasthan,39.13,Kawasaki,Z650,53478.0,2023,219.0,Petrol,47.44,Third,2024.0,Not Available,Individual,33120.17,Tier 2
Gujarat,77.0,Tvs,Ronin,133181.0,2023,633.0,Electric,90.84,Second,2023.0,Not Available,Dealer,73345.51,Metro
Rajasthan,72.57,Royal Enfield,Himalayan,68340.0,2016,692.0,Hybrid,70.2,Second,2023.0,Expired,Individual,40992.71,Tier 1
Punjab,64.45,Royal Enfield,Meteor 350,389673.0,2021,661.0,Petrol,43.68,Second,2022.0,Active,Dealer,202998.35,Tier 2
Delhi,57.97,Royal Enfield,Interceptor 650,326146.0,2023,516.0,Electric,65.97,Second,2023.0,Active,Dealer,133472.89,Tier 2
Maharashtra,37.9,Kawasaki,Ninja 300,91212.0,2020,765.0,Petrol,37.22,Second,2023.0,Not Available,Dealer,61811.9,Tier 2
Uttar Pradesh,34.9,Bajaj,Pulsar 150,59432.0,2024,280.0,Hybrid,77.82,First,2024.0,Active,Individual,24330.03,Tier 2
Madhya Pradesh,66.9,Tvs,Ntorq 125,190264.0,2022,950.0,Hybrid,81.43,Second,2022.0,Expired,Dealer,78046.59,Tier 1
Madhya Pradesh,52.33,Tvs,Apache Rtr 160,71147.0,2024,118.0,Hybrid,61.3,Second,2024.0,Expired,Dealer,52113.17,Tier 2
Madhya Pradesh,45.8,Kawasaki,Versys 650,176472.0,2019,136.0,Electric,72.41,Second,2021.0,Expired,Individual,120124.55962193829,Tier 2
Rajasthan,30.68,Tvs,Ntorq 125,297364.0,2024,766.0,Electric,61.5,Second,2024.0,Active,Individual,157167.08,Tier 2
Delhi,63.52,Honda,Unicorn,123763.0,2017,846.0,Electric,70.2,Second,2021.0,Not Available,Dealer,97547.24,Tier 2
Tamil Nadu,52.38,Royal Enfield,Hunter 350,355717.0,2022,123.0,Electric,63.57,Second,2022.0,Active,Dealer,133472.89,Tier 3
Gujarat,28.08,Bajaj,Dominar 400,314916.0,2024,395.0,Hybrid,62.98,Second,2024.0,Active,Dealer,250720.88,Tier 3
Madhya Pradesh,45.11,Yamaha,Fz V3,170625.0,2019,771.0,Hybrid,77.16,Second,2023.0,Not Available,Dealer,133472.89,Tier 3
Gujarat,52.09,Ktm,250 Duke,203395.0,2016,778.0,Hybrid,87.31,Second,2021.0,Active,Dealer,93904.44,Tier 3
Rajasthan,18.39,Hero,Glamour,349074.0,2020,108.0,Hybrid,74.61,Second,2022.0,Active,Dealer,215820.32,Tier 2
Delhi,29.77,Ktm,125 Duke,189719.0,2021,506.0,Electric,100.0,Second,2023.0,Not Available,Dealer,103130.48,Tier 2
Punjab,29.47,Tvs,Sport,250186.0,2022,913.0,Hybrid,97.17,First,2022.0,Active,Individual,179327.71,Tier 1
Punjab,22.89,Ktm,Rc 390,121511.0,2015,900.0,Petrol,29.32,Second,2021.0,Active,Dealer,59257.67,Metro
Delhi,67.23,Royal Enfield,Hunter 350,370924.0,2015,982.0,Hybrid,96.88,Second,2022.0,Not Available,Individual,227203.75,Tier 3
Rajasthan,34.37,Tvs,Ntorq 125,198844.0,2018,985.0,Hybrid,88.25,Second,2023.0,Expired,Dealer,133472.89,Tier 2
Gujarat,73.13,Tvs,Sport,248990.0,2019,817.0,Petrol,27.34,Third,2023.0,Active,Dealer,135623.95,Metro
Uttar Pradesh,50.32,Honda,Shine,163818.0,2023,927.0,Petrol,56.24,First,2023.0,Not Available,Individual,82044.35308294119,Tier 2
Maharashtra,24.17,Hero,Splendor Plus,256232.0,2024,925.0,Hybrid,91.15,Second,2024.0,Expired,Individual,115828.07,Tier 1
Karnataka,59.45,Yamaha,R15 V4,57299.0,2021,150.0,Electric,73.4,Second,2022.0,Not Available,Dealer,33881.87,Tier 2
West Bengal,31.26,Royal Enfield,Himalayan,305726.0,2015,354.0,Petrol,39.9,Third,2024.0,Expired,Dealer,227989.69,Metro
Punjab,56.77,Bajaj,Platina 110,366557.0,2020,744.0,Petrol,40.13,Second,2022.0,Not Available,Dealer,148456.38,Metro
Rajasthan,39.48,Royal Enfield,Interceptor 650,147687.0,2015,206.0,Hybrid,97.94,Second,2023.0,Not Available,Dealer,64326.22,Metro
Delhi,70.69,Kawasaki,Ninja 400,97886.0,2021,559.0,Electric,64.67,First,2021.0,Active,Individual,75883.46,Tier 3
Tamil Nadu,67.57,Kawasaki,Ninja 300,256525.0,2015,345.0,Petrol,33.16,Second,2023.0,Expired,Individual,112643.18,Tier 1
Gujarat,9.28,Royal Enfield,Interceptor 650,220153.0,2016,511.0,Hybrid,85.92,Third,2023.0,Not Available,Individual,154301.47,Tier 3
Punjab,48.38,Hero,Passion Pro,115457.0,2017,817.0,Electric,89.77,Second,2022.0,Not Available,Dealer,71432.04,Tier 3
Delhi,45.86,Hero,Xtreme 160R,180257.0,2024,878.0,Hybrid,85.01,Second,2024.0,Active,Individual,118702.07,Tier 3
Madhya Pradesh,77.54,Kawasaki,Versys 650,267705.0,2022,279.0,Electric,80.72,First,2022.0,Expired,Dealer,122729.96,Tier 1
Tamil Nadu,52.06,Royal Enfield,Classic 350,70807.0,2024,169.0,Electric,79.0,Second,2024.0,Expired,Dealer,40452.4,Tier 3
Gujarat,47.34,Hero,Passion Pro,323689.0,2023,882.0,Hybrid,96.12,First,2023.0,Not Available,Individual,190567.82,Tier 3
Uttar Pradesh,69.69,Kawasaki,Ninja 300,99188.0,2021,884.0,Petrol,38.37,Second,2022.0,Expired,Dealer,48082.34,Tier 1
Delhi,58.85,Yamaha,Mt-15,367495.0,2021,940.0,Petrol,33.31,First,2021.0,Not Available,Dealer,207348.58,Metro
Maharashtra,78.16,Royal Enfield,Classic 350,179532.0,2024,243.0,Hybrid,81.56,Second,2024.0,Expired,Dealer,100192.4,Tier 2
Delhi,37.54,Royal Enfield,Interceptor 650,239448.0,2022,929.0,Hybrid,87.6,Third,2023.0,Not Available,Dealer,124898.55,Tier 3
Delhi,20.82,Kawasaki,Ninja 400,276946.0,2017,920.0,Electric,74.6,Second,2024.0,Active,Individual,151057.87,Tier 2
West Bengal,24.08,Kawasaki,Z650,63817.0,2020,806.0,Petrol,40.17,Second,2024.0,Not Available,Dealer,35450.41,Metro
Maharashtra,45.76,Royal Enfield,Hunter 350,52553.0,2022,957.0,Hybrid,64.44,Second,2023.0,Not Available,Individual,37099.94,Tier 1
Maharashtra,7.82,Bajaj,Dominar 400,246951.0,2019,310.0,Hybrid,87.26,Second,2022.0,Expired,Individual,151360.44,Tier 2
Tamil Nadu,73.74,Kawasaki,Versys 650,71712.0,2023,831.0,Electric,84.15,Third,2023.0,Active,Individual,46908.64,Tier 2
Maharashtra,26.84,Tvs,Ronin,391116.0,2024,786.0,Hybrid,97.87,Second,2024.0,Active,Individual,182577.01,Tier 3
Rajasthan,12.27,Tvs,Ntorq 125,290595.0,2021,316.0,Electric,95.77,Third,2021.0,Not Available,Individual,173216.16,Metro
Maharashtra,25.85,Yamaha,Ray Zr,397114.0,2021,748.0,Petrol,29.49,Second,2023.0,Active,Dealer,168734.2,Tier 3
Gujarat,19.59,Royal Enfield,Himalayan,145174.0,2023,501.0,Hybrid,89.2,Second,2024.0,Expired,Dealer,62482.95,Tier 1
Maharashtra,50.45,Tvs,Apache Rtr 160,213360.0,2023,943.0,Electric,63.7,Second,2023.0,Expired,Individual,132374.64,Metro
Gujarat,16.49,Yamaha,Ray Zr,116927.0,2020,559.0,Electric,99.89,Second,2021.0,Active,Individual,85717.29,Tier 2
Rajasthan,7.96,Hero,Passion Pro,101186.0,2021,188.0,Petrol,27.28,Third,2022.0,Active,Dealer,57289.08,Metro
Karnataka,32.64,Honda,Shine,336638.0,2017,575.0,Hybrid,70.37,Third,2021.0,Not Available,Individual,238462.12,Tier 3
Gujarat,12.57,Hero,Glamour,229863.0,2015,325.0,Petrol,26.75,Second,2021.0,Active,Individual,133472.89,Tier 1
Madhya Pradesh,12.41,Honda,Shine,194359.0,2022,206.0,Electric,69.49,First,2022.0,Expired,Individual,133472.89,Tier 2
Madhya Pradesh,75.84,Hero,Glamour,354292.0,2020,634.0,Petrol,41.63,Second,2023.0,Not Available,Dealer,141918.22,Tier 1
Madhya Pradesh,45.64,Tvs,Apache Rtr 160,383794.0,2022,485.0,Hybrid,70.2,Second,2022.0,Not Available,Dealer,165262.96,Metro
Tamil Nadu,49.38,Bajaj,Avenger 220,65050.0,2016,795.0,Hybrid,87.54,Second,2021.0,Expired,Dealer,31898.3,Metro
Rajasthan,75.95,Tvs,Ntorq 125,178415.0,2024,413.0,Petrol,47.96,Second,2024.0,Active,Dealer,72804.55,Metro
Rajasthan,46.06,Honda,Cbr 650R,347482.0,2021,463.0,Hybrid,60.52,Third,2023.0,Expired,Dealer,247940.74,Tier 3
West Bengal,53.24,Bajaj,Avenger 220,113339.0,2024,275.0,Electric,61.54,First,2024.0,Active,Dealer,46046.71,Tier 2
Madhya Pradesh,52.71,Ktm,Duke 200,361550.0,2022,373.0,Hybrid,70.2,Third,2022.0,Active,Dealer,284628.24,Metro
Madhya Pradesh,61.06,Kawasaki,Ninja 300,356968.0,2024,915.0,Electric,79.65,Second,2024.0,Expired,Individual,246256.68,Metro
Rajasthan,54.51,Hero,Hf Deluxe,134558.0,2018,844.0,Hybrid,82.98,Second,2021.0,Expired,Dealer,76700.88,Metro
Delhi,71.4,Yamaha,Ray Zr,56965.0,2018,579.0,Petrol,34.47,Second,2022.0,Active,Dealer,24281.9,Tier 3
Maharashtra,39.08,Royal Enfield,Hunter 350,346064.0,2021,835.0,Petrol,47.67,First,2021.0,Not Available,Individual,138645.53,Tier 3
Rajasthan,53.99,Bajaj,Dominar 400,286374.0,2023,383.0,Electric,67.65,Second,2023.0,Not Available,Individual,197803.25,Metro
Rajasthan,7.22,Tvs,Sport,57393.0,2017,301.0,Electric,76.78,Second,2021.0,Active,Individual,23870.33,Tier 2
Karnataka,36.17,Ktm,250 Duke,257044.0,2017,863.0,Hybrid,91.3,Second,2024.0,Expired,Individual,168619.55,Tier 2
Gujarat,40.72,Tvs,Jupiter,264082.0,2023,887.0,Electric,88.93,Second,2023.0,Not Available,Individual,151373.77,Tier 3
Madhya Pradesh,73.33,Kawasaki,Vulcan S,76657.0,2020,486.0,Hybrid,85.85,Second,2022.0,Active,Dealer,52337.66,Tier 1
Punjab,24.29,Ktm,Duke 200,279073.0,2024,810.0,Electric,70.2,First,2024.0,Active,Individual,133472.89,Tier 1
Uttar Pradesh,30.28,Honda,Cbr 650R,241438.0,2017,937.0,Electric,67.66,Second,2021.0,Not Available,Dealer,177605.95,Tier 2
Tamil Nadu,63.78,Honda,Shine,296688.0,2017,279.0,Electric,96.04,Third,2023.0,Active,Individual,157530.76,Tier 1
Madhya Pradesh,6.59,Royal Enfield,Hunter 350,208965.0,2023,798.0,Electric,69.17,First,2023.0,Active,Individual,133023.75,Tier 2
Madhya Pradesh,73.51,Honda,Dio,88122.0,2015,420.0,Hybrid,81.24,Second,2023.0,Expired,Dealer,60153.85,Metro
Madhya Pradesh,76.08,Bajaj,Pulsar 150,167294.0,2023,978.0,Electric,61.48,Second,2023.0,Active,Individual,100722.68,Tier 3
Karnataka,42.43,Yamaha,Mt-15,306467.0,2021,384.0,Electric,81.9,Second,2021.0,Expired,Individual,202926.83,Tier 3
Rajasthan,21.66,Honda,Unicorn,324838.0,2019,704.0,Hybrid,71.16,Second,2023.0,Active,Individual,174196.92,Tier 3
Gujarat,23.05,Tvs,Jupiter,170015.0,2023,136.0,Petrol,28.36,Second,2023.0,Expired,Dealer,119849.58,Metro
Tamil Nadu,47.49,Kawasaki,Versys 650,210081.0,2022,312.0,Electric,86.59,Second,2022.0,Active,Individual,92171.82,Tier 3
Gujarat,17.72,Royal Enfield,Meteor 350,211957.0,2022,865.0,Hybrid,87.77,Second,2022.0,Not Available,Individual,133472.89,Tier 3
Uttar Pradesh,60.22,Royal Enfield,Himalayan,103943.0,2020,889.0,Hybrid,64.47,Second,2021.0,Active,Individual,76488.43,Tier 1
Rajasthan,39.03,Ktm,Duke 200,184770.0,2023,852.0,Petrol,32.58,Second,2024.0,Active,Individual,132795.45,Metro
Uttar Pradesh,44.45,Royal Enfield,Himalayan,371817.0,2015,184.0,Hybrid,68.32,Second,2024.0,Active,Individual,176380.2,Metro
Gujarat,5.49,Bajaj,Dominar 400,332854.0,2022,540.0,Hybrid,79.6,Second,2022.0,Active,Dealer,210951.57,Tier 1
Rajasthan,35.42,Hero,Splendor Plus,185512.0,2019,473.0,Petrol,51.98,Second,2024.0,Active,Individual,111048.37,Tier 1
Delhi,31.16,Ktm,250 Duke,187346.0,2016,698.0,Petrol,56.09,Second,2022.0,Not Available,Individual,99072.27,Tier 3
Tamil Nadu,74.74,Kawasaki,Ninja 300,159429.0,2016,245.0,Petrol,56.93,Second,2021.0,Active,Dealer,133472.89,Metro
Punjab,18.93,Honda,Activa,187822.0,2017,739.0,Hybrid,78.88,Second,2022.0,Active,Dealer,101608.64,Tier 3
Tamil Nadu,22.06,Royal Enfield,Classic 350,269978.0,2018,739.0,Petrol,42.06,Second,2022.0,Active,Dealer,142760.2,Tier 3
Karnataka,49.03,Royal Enfield,Hunter 350,103039.0,2021,280.0,Petrol,47.99,Second,2021.0,Expired,Dealer,78265.4,Tier 1
West Bengal,48.65,Bajaj,Pulsar 150,260387.0,2024,113.0,Electric,95.94,Third,2024.0,Not Available,Individual,205280.82,Tier 1
Tamil Nadu,27.81,Honda,Activa,154583.0,2020,296.0,Hybrid,60.74,Third,2021.0,Active,Individual,114765.92,Tier 1
Delhi,16.61,Bajaj,Dominar 400,200847.0,2021,254.0,Electric,75.29,Second,2021.0,Active,Dealer,132396.12,Tier 2
Madhya Pradesh,50.85,Tvs,Sport,205159.0,2024,550.0,Hybrid,70.2,Third,2024.0,Expired,Individual,95686.6,Tier 1
Gujarat,12.39,Yamaha,Mt-15,322550.0,2024,303.0,Hybrid,71.54,Third,2024.0,Expired,Dealer,158068.57,Tier 2
Tamil Nadu,35.63,Hero,Xtreme 160R,325033.0,2024,716.0,Hybrid,77.37,Second,2024.0,Active,Dealer,217534.18,Tier 2
Karnataka,22.69,Kawasaki,Versys 650,190670.0,2021,781.0,Hybrid,92.56,First,2021.0,Expired,Individual,137764.92,Metro
West Bengal,55.64,Ktm,390 Adventure,77455.0,2021,144.0,Petrol,35.7,Third,2021.0,Expired,Individual,56485.24,Tier 3
Punjab,77.59,Tvs,Sport,105774.0,2023,125.0,Electric,86.52,Second,2023.0,Not Available,Individual,133472.89,Tier 1
Madhya Pradesh,58.97,Ktm,Duke 200,303841.0,2016,717.0,Petrol,39.79,Second,2023.0,Not Available,Dealer,149668.88,Tier 2
Karnataka,16.65,Tvs,Jupiter,324453.0,2023,981.0,Petrol,34.66,Second,2024.0,Active,Dealer,147993.07,Metro
Tamil Nadu,53.54,Bajaj,Pulsar 150,81515.0,2021,293.0,Petrol,33.28,Third,2021.0,Not Available,Individual,46098.5,Metro
Delhi,66.55,Yamaha,Mt-15,295724.0,2021,409.0,Electric,86.44,First,2021.0,Not Available,Dealer,219296.96,Metro
Uttar Pradesh,23.48,Tvs,Ronin,88359.0,2020,342.0,Hybrid,88.4,Second,2021.0,Expired,Individual,42475.98,Tier 3
West Bengal,34.81,Yamaha,Fz V3,118565.0,2021,880.0,Petrol,32.74,Second,2021.0,Expired,Individual,79071.09,Tier 3
Gujarat,53.97,Hero,Splendor Plus,149706.0,2019,427.0,Hybrid,88.56,Second,2023.0,Expired,Dealer,74281.06,Tier 2
Rajasthan,70.65,Tvs,Ntorq 125,185402.0,2022,270.0,Hybrid,92.47,Third,2023.0,Active,Dealer,147529.71,Metro
Punjab,76.13,Bajaj,Pulsar 150,138818.0,2016,871.0,Petrol,38.87,Second,2022.0,Active,Dealer,69901.91,Tier 3
Rajasthan,77.74,Hero,Xtreme 160R,374188.0,2024,753.0,Hybrid,99.4,First,2024.0,Not Available,Dealer,232737.07,Tier 3
Karnataka,49.48,Honda,Shine,92527.0,2024,491.0,Hybrid,72.14,First,2024.0,Active,Individual,52249.09,Metro
Gujarat,54.65,Ktm,250 Duke,370998.0,2019,441.0,Electric,98.79,Second,2021.0,Active,Individual,235275.35,Tier 2
Punjab,7.34,Royal Enfield,Hunter 350,322592.0,2017,603.0,Petrol,58.39,Second,2024.0,Active,Individual,251898.53,Metro
Tamil Nadu,79.61,Hero,Passion Pro,199595.0,2022,361.0,Petrol,55.52,Second,2022.0,Expired,Dealer,134569.17,Tier 1
Gujarat,29.22,Kawasaki,Vulcan S,399401.0,2024,200.0,Electric,73.05,Second,2024.0,Expired,Individual,241488.02,Tier 3
Rajasthan,34.75,Yamaha,Ray Zr,327484.0,2024,977.0,Hybrid,79.0,Second,2024.0,Not Available,Individual,241200.65,Tier 3
Delhi,29.93,Ktm,Rc 390,176667.0,2024,661.0,Hybrid,90.33,First,2024.0,Expired,Individual,89086.51,Tier 3
Maharashtra,38.91,Hero,Splendor Plus,353758.0,2023,468.0,Petrol,59.07,Second,2024.0,Not Available,Individual,241776.17,Tier 2
Rajasthan,49.33,Royal Enfield,Interceptor 650,305662.0,2022,781.0,Hybrid,65.93,Second,2023.0,Active,Individual,133472.89,Tier 1
West Bengal,53.15,Royal Enfield,Classic 350,376420.0,2021,695.0,Electric,66.03,Second,2021.0,Active,Individual,157324.62,Tier 3
Punjab,68.73,Hero,Glamour,202579.0,2022,802.0,Petrol,58.03,Second,2022.0,Expired,Individual,151397.27,Tier 3
Uttar Pradesh,15.64,Tvs,Ntorq 125,249088.0,2022,509.0,Electric,76.32,Second,2022.0,Active,Individual,101387.95,Tier 3
Maharashtra,63.55,Yamaha,R15 V4,375301.0,2019,356.0,Petrol,45.34,Second,2022.0,Active,Dealer,164882.1,Tier 1
