State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
  Tamil Nadu  ,74.85,YAMAHA,Fascino 125,288764,2023,470,Petrol,51.89,FIRST,2023,ACTIVE,Dealer,120996.42,Tier 2
Delhi,68.0,kawasaki,Ninja 400,64863,2024,909,Hybrid,80.89,Second,2024,Not Available,Dealer,50611.96,Tier 3
Karnataka,10.5,Honda,CBR 650R,254581,2022,834,Petrol,36.04,2nd,2022,Expired,Individual,181456.98,Tier 2
Madhya Pradesh,73.26,KAWASAKI,Versys 650,74684,2023,293,Petrol,54.62,3rd,2023,Not Available,dealer,48193.79,Tier 1
Maharashtra,59.61,Kawasaki,Ninja 300,251783,2016,779,PETROL,59.73,Third,2021,Not Available,individual,193643.8,TIER 3
Rajasthan,26.18,Bajaj,CT 100,68000,2021,109,Electric,63.74,SECOND,2023,Active,DEALER,30586.37,Tier 1
Tamil Nadu,11.83,royal enfield,Classic 350,263728,2021,984,Electric,81.06,Third,2023,Expired,Dealer,112885.83,Tier 1
Madhya Pradesh,44.9,Yamaha,MT-15,57844,2019,218,Electric,61.1,second owner,2022,  Not Available  ,Dealer,27256.09,Tier 3
  West Bengal  ,72.81,Bajaj,Avenger 220,328379,2023,287,Electric,68.35,third owner,2024,,Dealer,180932.26,  Metro  
karnataka,31.27,TVS,Apache RTR 160,224917,2016,454,Petrol,27.28,,2024,  Expired  ,Dealer,103546.72,Tier 3
punjab,20.31,Hero,Splendor Plus,284414,2024,688,petrol,,FIRST,2024,Expired,  Dealer  ,144228.41,Tier 1
maharashtra,38.23,  Hero  ,Glamour,365868,2018,321,Hybrid,67.94,Second,2022,Active,DEALER,189300.15,  Metro  
Rajasthan,39.13,KAWASAKI,Z650,53478,2023,219,PETROL,47.44,third owner,2024,Not Available,Individual,33120.17,Tier 2
GUJARAT,77.0,TVS,Ronin,133181,2023,633,  Electric  ,90.84,FIRST,2023,  Not Available  ,Dealer,73345.51,Metro
  Rajasthan  ,72.57,Royal Enfield,Himalayan,68340,2016,692,  Hybrid  ,,SECOND,2023,,INDIVIDUAL,40992.71,Tier 1
Punjab,64.45,Royal Enfield,Meteor 350,389673,2021,661,  Petrol  ,43.68,THIRD,2022,Active,Dealer,202998.35,Tier 2
  Delhi  ,57.97,Royal Enfield,Interceptor 650,326146,2023,516,Electric,65.97,FIRST,2023,Active,Dealer,,Tier 2
Maharashtra,37.9,Kawasaki,Ninja 300,91212,2020,765,Petrol,37.22,SECOND,2023,Not Available,DEALER,61811.9,Tier 2
  Uttar Pradesh  ,34.9,Bajaj,Pulsar 150,59432,2024,280,Hybrid,77.82,first owner,2024,active,Individual,24330.03,Tier 2
madhya pradesh,66.9,TVS,NTorq 125,190264,2022,950,HYBRID,81.43,First,2022,expired,Dealer,78046.59,Tier 1
MADHYA PRADESH,52.33,tvs,Apache RTR 160,71147,2024,118,Hybrid,61.3,Third,2024,Expired,Dealer,52113.17,Tier 2
Madhya Pradesh,45.8,kawasaki,Versys 650,176472,2019,136,ELECTRIC,72.41,Second,2021,Expired,Individual,120124.55962193829,Tier 2
RAJASTHAN,30.68,Tvs,NTorq 125,297364,2024,766,Electric,61.5,second owner,2024,active,Individual,157167.08,Tier 2
Delhi,63.52,Honda,Unicorn,"₹123,763",2017,846,Electric,,Second,2021,  Not Available  ,Dealer,97547.24,  Tier 2  
Tamil Nadu,52.38,royal enfield,Hunter 350,355717,2022,123,Electric,63.57,FIRST,2022,ACTIVE,dealer,,  Tier 3  
gujarat,28.08,Bajaj,Dominar 400,314916,2024,395,Hybrid,62.98,SECOND,2024,ACTIVE,Dealer,250720.88,tier 3
madhya pradesh,45.11,  Yamaha  ,FZ V3,170625,2019,771,Hybrid,77.16,THIRD,2023,Not Available,Dealer,,Tier 3
Gujarat,52.09,ktm,250 Duke,203395,2016,778,  Hybrid  ,87.31,SECOND,2021,ACTIVE,DEALER,93904.44,Tier 3
Rajasthan,18.39,Hero,Glamour,349074,2020,108,  Hybrid  ,74.61,2nd,2022,Active,dealer,215820.32,Tier 2
Delhi,29.77,KTM,125 Duke,189719,2021,506,Electric,100.0,Second,2023,Not Available,Dealer,103130.48,Tier 2
punjab,29.47,TVS,Sport,250186,2022,913,Hybrid,97.17,first owner,2022,Active,INDIVIDUAL,179327.71,Tier 1
PUNJAB,22.89,  KTM  ,RC 390,"₹121,511",2015,900,Petrol,29.32,SECOND,2021,Active,DEALER,59257.67,metro
Delhi,67.23,Royal Enfield,Hunter 350,370924,2015,982,HYBRID,96.88,,2022,Not Available,individual,227203.75,Tier 3
RAJASTHAN,34.37,Tvs,NTorq 125,198844,2018,985,Hybrid,88.25,SECOND,2023,  Expired  ,Dealer,,Tier 2
Gujarat,73.13,TVS,Sport,248990,2019,817,Petrol,27.34,3rd,2023,Active,DEALER,135623.95,Metro
Uttar Pradesh,50.32,Honda,Shine,163818,2023,927,  Petrol  ,56.24,first owner,2021,Not Available,INDIVIDUAL,82044.35308294119,Tier 2
MAHARASHTRA,24.17,HERO,Splendor Plus,256232,2024,925,Hybrid,91.15,Second,2024,Expired,Individual,115828.07,TIER 1
Karnataka,59.45,  Yamaha  ,R15 V4,"₹57,299",2021,150,  Electric  ,73.4,2nd,2022,Not Available,Dealer,33881.87,  Tier 2  
  West Bengal  ,31.26,Royal Enfield,Himalayan,305726,2015,354,Petrol,39.9,third owner,2024,Expired,dealer,227989.69,Metro
Punjab,56.77,Bajaj,Platina 110,366557,2020,744,Petrol,40.13,SECOND,2022,not available,dealer,148456.38,  Metro  
rajasthan,39.48,  Royal Enfield  ,Interceptor 650,147687,2015,206,Hybrid,97.94,THIRD,2023,Not Available,  Dealer  ,64326.22,Metro
Delhi,70.69,Kawasaki,Ninja 400,97886,2021,559,electric,64.67,first owner,2021,ACTIVE,Individual,75883.46,Tier 3
  Tamil Nadu  ,67.57,  Kawasaki  ,Ninja 300,256525,2015,345,Petrol,33.16,SECOND,2023,EXPIRED,Individual,112643.18,tier 1
Gujarat,9.28,  Royal Enfield  ,Interceptor 650,220153,2016,511,Hybrid,85.92,third owner,2023,Not Available,INDIVIDUAL,154301.47,Tier 3
PUNJAB,48.38,hero,Passion Pro,115457,2017,817,  Electric  ,89.77,Third,2022,NOT AVAILABLE,DEALER,71432.04,Tier 3
DELHI,45.86,Hero,Xtreme 160R,180257,2024,878,Hybrid,85.01,2nd,2024,active,individual,118702.07,TIER 3
Madhya Pradesh,77.54,KAWASAKI,Versys 650,267705,2022,279,Electric,80.72,1st,2022,EXPIRED,Dealer,122729.96,Tier 1
Tamil Nadu,52.06,  Royal Enfield  ,Classic 350,70807,2024,169,electric,79.0,2nd,2024,expired,Dealer,40452.4,tier 3
GUJARAT,47.34,  Hero  ,Passion Pro,323689,2023,882,Hybrid,96.12,first owner,2023,not available,Individual,190567.82,Tier 3
  Uttar Pradesh  ,69.69,KAWASAKI,Ninja 300,99188,2021,884,Petrol,38.37,THIRD,2022,expired,Dealer,48082.34,Tier 1
Delhi,58.85,Yamaha,MT-15,367495,2021,940,Petrol,33.31,first owner,2021,Not Available,DEALER,207348.58,METRO
Maharashtra,78.16,Royal Enfield,Classic 350,179532,2024,243,HYBRID,81.56,second owner,2024,  Expired  ,  Dealer  ,100192.4,TIER 2
  Delhi  ,37.54,  Royal Enfield  ,Interceptor 650,239448,2022,929,hybrid,87.6,third owner,2023,not available,Dealer,124898.55,TIER 3
Delhi,20.82,Kawasaki,Ninja 400,276946,2017,920,Electric,74.6,Second,2024,active,INDIVIDUAL,151057.87,  Tier 2  
West Bengal,24.08,  Kawasaki  ,Z650,63817,2020,806,Petrol,40.17,Third,2024,  Not Available  ,  Dealer  ,35450.41,Metro
MAHARASHTRA,45.76,Royal Enfield,Hunter 350,52553,2022,957,HYBRID,64.44,SECOND,2023,NOT AVAILABLE,Individual,37099.94,tier 1
Maharashtra,7.82,Bajaj,Dominar 400,246951,2019,310,HYBRID,87.26,,2022,expired,Individual,151360.44,Tier 2
Tamil Nadu,73.74,KAWASAKI,Versys 650,71712,2023,831,Electric,84.15,3rd,2023,Active,Individual,46908.64,Tier 2
  Maharashtra  ,26.84,Tvs,Ronin,391116,2024,786,hybrid,97.87,2nd,2024,Active,INDIVIDUAL,182577.01,  Tier 3  
Rajasthan,12.27,Tvs,NTorq 125,290595,2021,316,electric,95.77,third owner,2021,Not Available,Individual,173216.16,Metro
Maharashtra,25.85,YAMAHA,Ray ZR,397114,2021,748,petrol,29.49,SECOND,2023,Active,DEALER,168734.2,  Tier 3  
Gujarat,19.59,Royal Enfield,Himalayan,145174,2023,501,Hybrid,89.2,SECOND,2024,,dealer,62482.95,Tier 1
maharashtra,50.45,TVS,Apache RTR 160,213360,2023,943,  Electric  ,63.7,2nd,2023,  Expired  ,Individual,132374.64,Metro
Gujarat,16.49,Yamaha,Ray ZR,116927,2020,559,Electric,99.89,Second,2021,  Active  ,individual,85717.29,Tier 2
rajasthan,7.96,Hero,Passion Pro,101186,2021,188,Petrol,27.28,third owner,2022,Active,Dealer,57289.08,METRO
Karnataka,32.64,  Honda  ,Shine,336638,2017,575,  Hybrid  ,70.37,third owner,2021,  Not Available  ,Individual,238462.12,  Tier 3  
GUJARAT,12.57,Hero,Glamour,229863,2015,325,petrol,26.75,THIRD,2021,Active,  Individual  ,,Tier 1
Madhya Pradesh,12.41,Honda,Shine,194359,2022,206,Electric,69.49,1st,2022,Expired,individual,,TIER 2
Madhya Pradesh,75.84,HERO,Glamour,354292,2020,634,Petrol,41.63,,2023,Not Available,dealer,141918.22,Tier 1
Madhya Pradesh,45.64,  TVS  ,Apache RTR 160,383794,2022,485,Hybrid,,First,2022,NOT AVAILABLE,Dealer,165262.96,metro
Tamil Nadu,49.38,Bajaj,Avenger 220,65050,2016,795,Hybrid,87.54,SECOND,2021,Expired,Dealer,31898.3,METRO
Rajasthan,75.95,TVS,NTorq 125,178415,2024,413,petrol,47.96,Second,2024,active,Dealer,72804.55,METRO
rajasthan,46.06,honda,CBR 650R,347482,2021,463,Hybrid,60.52,third owner,2023,Expired,Dealer,247940.74,TIER 3
West Bengal,53.24,Bajaj,Avenger 220,113339,2024,275,electric,61.54,first owner,2024,ACTIVE,Dealer,46046.71,Tier 2
Madhya Pradesh,52.71,KTM,Duke 200,361550,2022,373,Hybrid,,third owner,2022,Active,Dealer,284628.24,metro
MADHYA PRADESH,61.06,Kawasaki,Ninja 300,356968,2024,915,ELECTRIC,79.65,First,2024,EXPIRED,INDIVIDUAL,246256.68,  Metro  
Rajasthan,54.51,Hero,HF Deluxe,134558,2018,844,  Hybrid  ,82.98,second owner,2021,,DEALER,76700.88,Metro
DELHI,71.4,  Yamaha  ,Ray ZR,56965,2018,579,  Petrol  ,34.47,,2022,active,Dealer,24281.9,  Tier 3  
MAHARASHTRA,39.08,Royal Enfield,Hunter 350,346064,2021,835,Petrol,47.67,1st,2021,  Not Available  ,Individual,138645.53,Tier 3
  Rajasthan  ,53.99,BAJAJ,Dominar 400,286374,2023,383,ELECTRIC,67.65,Second,2023,Not Available,Individual,197803.25,Metro
  Rajasthan  ,7.22,tvs,Sport,57393,2017,301,  Electric  ,76.78,second owner,2021,Active,Individual,23870.33,tier 2
Karnataka,36.17,ktm,250 Duke,257044,2017,863,Hybrid,91.3,Second,2024,  Expired  ,INDIVIDUAL,168619.55,TIER 2
Gujarat,40.72,TVS,Jupiter,264082,2023,887,Electric,88.93,SECOND,2023,NOT AVAILABLE,  Individual  ,151373.77,Tier 3
Madhya Pradesh,73.33,  Kawasaki  ,Vulcan S,76657,2020,486,hybrid,85.85,Third,2022,Active,Dealer,52337.66,  Tier 1  
Punjab,24.29,KTM,Duke 200,279073,2024,810,Electric,,first owner,2024,Active,Individual,,Tier 1
UTTAR PRADESH,30.28,Honda,CBR 650R,241438,2017,937,Electric,67.66,Second,2021,Not Available,Dealer,177605.95,  Tier 2  
TAMIL NADU,63.78,Honda,Shine,296688,2017,279,  Electric  ,96.04,3rd,2023,ACTIVE,INDIVIDUAL,157530.76,Tier 1
Madhya Pradesh,6.59,royal enfield,Hunter 350,208965,2023,798,Electric,69.17,1st,2023,Active,individual,133023.75,TIER 2
Madhya Pradesh,73.51,Honda,Dio,88122,2015,420,  Hybrid  ,81.24,second owner,2023,Expired,Dealer,60153.85,Metro
Madhya Pradesh,76.08,Bajaj,Pulsar 150,"₹167,294",2023,978,Electric,61.48,second owner,2023,Active,Individual,100722.68,TIER 3
  Karnataka  ,42.43,Yamaha,MT-15,306467,2021,384,electric,81.9,THIRD,2021,  Expired  ,Individual,202926.83,  Tier 3  
Rajasthan,21.66,Honda,Unicorn,324838,2019,704,Hybrid,71.16,SECOND,2023,active,Individual,174196.92,Tier 3
Gujarat,23.05,TVS,Jupiter,170015,2023,136,Petrol,28.36,THIRD,2023,EXPIRED,Dealer,119849.58,Metro
tamil nadu,47.49,Kawasaki,Versys 650,210081,2022,312,  Electric  ,86.59,FIRST,2022,Active,individual,92171.82,Tier 3
GUJARAT,17.72,Royal Enfield,Meteor 350,211957,2022,865,  Hybrid  ,87.77,2nd,2022,  Not Available  ,INDIVIDUAL,,Tier 3
UTTAR PRADESH,60.22,Royal Enfield,Himalayan,103943,2020,889,Hybrid,64.47,2nd,2021,  Active  ,INDIVIDUAL,76488.43,Tier 1
RAJASTHAN,39.03,  KTM  ,Duke 200,184770,2023,852,Petrol,32.58,,2024,Active,individual,132795.45,METRO
Uttar Pradesh,44.45,royal enfield,Himalayan,371817,2015,184,HYBRID,68.32,THIRD,2024,  Active  ,  Individual  ,176380.2,Metro
Gujarat,5.49,Bajaj,Dominar 400,332854,2022,540,  Hybrid  ,79.6,First,2022,Active,Dealer,210951.57,tier 1
RAJASTHAN,35.42,Hero,Splendor Plus,185512,2019,473,petrol,51.98,SECOND,2024,Active,  Individual  ,111048.37,Tier 1
DELHI,31.16,KTM,250 Duke,187346,2016,698,Petrol,56.09,Second,2022,Not Available,individual,99072.27,  Tier 3  
Tamil Nadu,74.74,Kawasaki,Ninja 300,159429,2016,245,Petrol,56.93,SECOND,2021,Active,  Dealer  ,,Metro
Punjab,18.93,Honda,Activa,187822,2017,739,Hybrid,78.88,,2022,ACTIVE,Dealer,101608.64,Tier 3
Tamil Nadu,22.06,Royal Enfield,Classic 350,"₹269,978",2018,739,Petrol,42.06,Second,2022,active,Dealer,142760.2,Tier 3
KARNATAKA,49.03,Royal Enfield,Hunter 350,103039,2021,280,Petrol,47.99,THIRD,2021,Expired,Dealer,78265.4,  Tier 1  
WEST BENGAL,48.65,Bajaj,Pulsar 150,260387,2024,113,electric,95.94,3rd,2024,Not Available,Individual,205280.82,  Tier 1  
Tamil Nadu,27.81,HONDA,Activa,154583,2020,296,hybrid,60.74,3rd,2021,Active,Individual,114765.92,Tier 1
DELHI,16.61,bajaj,Dominar 400,200847,2021,254,Electric,75.29,FIRST,2021,  Active  ,Dealer,132396.12,Tier 2
madhya pradesh,50.85,TVS,Sport,205159,2024,9999,  Hybrid  ,,3rd,2024,,Individual,95686.6,TIER 1
Gujarat,12.39,YAMAHA,MT-15,322550,2024,303,Hybrid,71.54,3rd,2024,,Dealer,158068.57,tier 2
tamil nadu,35.63,HERO,Xtreme 160R,325033,2024,716,hybrid,77.37,SECOND,2024,active,Dealer,217534.18,tier 2
KARNATAKA,22.69,Kawasaki,Versys 650,190670,2021,781,hybrid,92.56,first owner,2021,Expired,Individual,137764.92,Metro
West Bengal,55.64,ktm,390 Adventure,77455,2021,144,Petrol,35.7,third owner,2021,Expired,  Individual  ,56485.24,  Tier 3  
punjab,77.59,TVS,Sport,105774,2023,125,  Electric  ,86.52,THIRD,2023,Not Available,Individual,,  Tier 1  
  Madhya Pradesh  ,58.97,KTM,Duke 200,303841,2016,717,Petrol,39.79,Second,2023,Not Available,dealer,149668.88,Tier 2
  Karnataka  ,16.65,TVS,Jupiter,324453,2023,981,Petrol,34.66,,2024,Active,Dealer,147993.07,Metro
Tamil Nadu,53.54,bajaj,Pulsar 150,"₹81,515",2021,293,PETROL,33.28,third owner,2021,not available,Individual,46098.5,  Metro  
Delhi,66.55,  Yamaha  ,MT-15,295724,2021,409,Electric,86.44,1st,2021,NOT AVAILABLE,Dealer,219296.96,  Metro  
UTTAR PRADESH,23.48,tvs,Ronin,88359,2020,342,Hybrid,88.4,2nd,2021,  Expired  ,  Individual  ,42475.98,Tier 3
West Bengal,34.81,Yamaha,FZ V3,118565,2021,880,petrol,32.74,THIRD,2021,,INDIVIDUAL,79071.09,Tier 3
Gujarat,53.97,HERO,Splendor Plus,149706,2019,427,  Hybrid  ,88.56,SECOND,2023,,Dealer,74281.06,tier 2
Rajasthan,70.65,TVS,NTorq 125,185402,2022,270,Hybrid,92.47,3rd,2023,Active,Dealer,147529.71,METRO
Punjab,76.13,BAJAJ,Pulsar 150,138818,2016,871,  Petrol  ,38.87,2nd,2022,Active,Dealer,69901.91,Tier 3
Rajasthan,77.74,  Hero  ,Xtreme 160R,374188,2024,753,  Hybrid  ,99.4,1st,2024,Not Available,Dealer,232737.07,tier 3
Karnataka,49.48,HONDA,Shine,92527,2024,491,  Hybrid  ,72.14,first owner,2024,Active,Individual,52249.09,METRO
Gujarat,54.65,KTM,250 Duke,370998,2019,441,  Electric  ,98.79,,2021,Active,  Individual  ,235275.35,  Tier 2  
Punjab,7.34,Royal Enfield,Hunter 350,322592,2017,603,  Petrol  ,58.39,Third,2024,Active,Individual,251898.53,METRO
Tamil Nadu,79.61,hero,Passion Pro,199595,2022,361,Petrol,55.52,Third,2022,Expired,Dealer,134569.17,tier 1
Gujarat,29.22,KAWASAKI,Vulcan S,399401,2024,200,Electric,73.05,Second,2024,Expired,INDIVIDUAL,241488.02,Tier 3
  Rajasthan  ,34.75,Yamaha,Ray ZR,327484,2024,977,HYBRID,79.0,2nd,2024,not available,individual,241200.65,  Tier 3  
Delhi,29.93,  KTM  ,RC 390,176667,2024,661,HYBRID,90.33,first owner,2024,EXPIRED,Individual,89086.51,Tier 3
Maharashtra,38.91,Hero,Splendor Plus,353758,2023,468,PETROL,59.07,Third,2024,Not Available,Individual,241776.17,TIER 2
Rajasthan,49.33,  Royal Enfield  ,Interceptor 650,305662,2022,781,Hybrid,65.93,Third,2023,Active,Individual,,Tier 1
  West Bengal  ,53.15,ROYAL ENFIELD,Classic 350,376420,2021,695,  Electric  ,66.03,FIRST,2021,Active,individual,157324.62,tier 3
  Punjab  ,68.73,hero,Glamour,202579,2022,802,Petrol,58.03,THIRD,2022,Expired,individual,151397.27,TIER 3
  Uttar Pradesh  ,15.64,Tvs,NTorq 125,249088,2022,509,ELECTRIC,76.32,SECOND,2022,  Active  ,INDIVIDUAL,101387.95,Tier 3
  Maharashtra  ,63.55,Yamaha,R15 V4,375301,2019,356,petrol,45.34,second owner,2022,ACTIVE,Dealer,164882.1,TIER 1
KARNATAKA,40.25,Kawasaki,Versys 650,209439,2021,142,  Petrol  ,30.1,1st,2021,Expired,individual,110721.04,  Metro  
West Bengal,71.47,TVS,Ronin,280350,2022,817,petrol,34.37,SECOND,2024,expired,Individual,117145.83,Tier 3
Gujarat,56.96,Honda,Activa,169350,2024,128,  Electric  ,89.84,SECOND,2024,Not Available,DEALER,130929.77,Metro
Madhya Pradesh,23.4,  Royal Enfield  ,Classic 350,237857,2022,674,Electric,96.0,3rd,2022,NOT AVAILABLE,Dealer,126989.87,Tier 3
maharashtra,14.95,TVS,NTorq 125,296111,2018,771,electric,,second owner,2024,Not Available,DEALER,156094.29,Tier 2
Tamil Nadu,75.77,HERO,HF Deluxe,214670,2023,863,Hybrid,98.34,THIRD,2023,  Expired  ,Dealer,154540.91,tier 3
MAHARASHTRA,38.64,Honda,Activa,303877,2023,897,Petrol,29.23,FIRST,2023,expired,Dealer,198938.91,  Metro  
